25, 20
-10, 3, -0.0327337
-9.25, 3, -0.0301133
-8.5, 3, -0.0258916
-7.75, 3, -0.0197228
-7, 3, -0.0131245
-6.25, 3, -0.00661476
-5.5, 3, -0.00056524
-4.75, 3, 0.00479008
-4, 3, 0.00932672
-3.25, 3, 0.0130042
-2.5, 3, 0.0158373
-1.75, 3, 0.0178697
-1, 3, 0.0191525
-0.25, 3, 0.019727
0.5, 3, 0.0196153
1.25, 3, 0.0188083
2, 3, 0.017281
2.75, 3, 0.0149874
3.5, 3, 0.0118768
4.25, 3, 0.00912042
5, 3, 0.00713554
-10, 2.88, -0.0327396
-9.24976, 2.88, -0.0301065
-8.49951, 2.88001, -0.0258829
-7.74927, 2.88011, -0.0197098
-6.99904, 2.88102, -0.0131134
-6.24941, 2.88661, -0.00661185
-5.50074, 2.89618, -0.000559852
-4.75073, 2.89952, 0.00479384
-4.00049, 2.89995, 0.00933029
-3.25024, 2.89999, 0.0130096
-2.5, 2.89999, 0.0158437
-1.74976, 2.89989, 0.017873
-0.999529, 2.89902, 0.0191529
-0.249872, 2.89354, 0.0197466
0.498782, 2.88393, 0.0196279
1.24878, 2.8805, 0.0188056
1.99902, 2.88005, 0.0172865
2.74927, 2.88001, 0.0149945
3.49951, 2.88, 0.0118836
4.24976, 2.88, 0.00912667
5, 2.88, 0.0071437
-10, 2.76, -0.0327421
-9.24951, 2.76, -0.030102
-8.49902, 2.76002, -0.0258765
-7.74853, 2.76022, -0.019699
-6.99808, 2.76203, -0.0131046
-6.24881, 2.77322, -0.00661152
-5.50148, 2.79237, -0.000557548
-4.75146, 2.79903, 0.0047943
-4.00098, 2.7999, 0.00933052
-3.25049, 2.79999, 0.0130117
-2.5, 2.79998, 0.0158468
-1.74951, 2.79979, 0.017873
-0.999058, 2.79804, 0.01915
-0.249743, 2.78708, 0.0197633
0.497564, 2.76786, 0.0196381
1.24757, 2.761, 0.0188005
1.99805, 2.76011, 0.0172895
2.74853, 2.76001, 0.0149993
3.49902, 2.76, 0.011888
4.24951, 2.76, 0.00913059
5, 2.76, 0.00714835
-10, 2.64, -0.0327412
-9.24927, 2.64, -0.0300999
-8.49853, 2.64003, -0.0258724
-7.7478, 2.64033, -0.0196906
-6.99712, 2.64305, -0.0130982
-6.24822, 2.65983, -0.00661378
-5.50222, 2.68855, -0.000558341
-4.75219, 2.69855, 0.00479146
-4.00147, 2.69985, 0.00932742
-3.25073, 2.69998, 0.0130105
-2.5, 2.69997, 0.0158465
-1.74927, 2.69968, 0.0178696
-0.998586, 2.69706, 0.0191438
-0.249615, 2.68062, 0.0197771
0.496347, 2.65179, 0.0196459
1.24635, 2.64151, 0.0187931
1.99707, 2.64016, 0.0172903
2.7478, 2.64002, 0.0150017
3.49853, 2.64, 0.0118901
4.24927, 2.64, 0.00913219
5, 2.64, 0.00714952
-10, 2.52, -0.0327402
-9.24902, 2.52, -0.0300977
-8.49805, 2.52005, -0.0258684
-7.74707, 2.52044, -0.0196822
-6.99617, 2.52406, -0.0130918
-6.24763, 2.54645, -0.00661606
-5.50296, 2.58473, -0.000559134
-4.75291, 2.59806, 0.00478862
-4.00195, 2.59979, 0.00932432
-3.25098, 2.59998, 0.0130092
-2.5, 2.59996, 0.0158462
-1.74902, 2.59957, 0.0178663
-0.998115, 2.59608, 0.0191376
-0.249487, 2.57417, 0.0197909
0.495129, 2.53572, 0.0196536
1.24513, 2.52201, 0.0187857
1.99609, 2.52021, 0.0172911
2.74707, 2.52002, 0.0150041
3.49805, 2.52, 0.0118922
4.24902, 2.52, 0.00913379
5, 2.52, 0.00715068
-10, 2.4, -0.0327392
-9.24878, 2.40001, -0.0300956
-8.49756, 2.40006, -0.0258643
-7.74634, 2.40055, -0.0196737
-6.99521, 2.40508, -0.0130854
-6.24704, 2.43306, -0.00661834
-5.50371, 2.48091, -0.000559928
-4.75364, 2.49758, 0.00478578
-4.00244, 2.49974, 0.00932121
-3.25122, 2.49997, 0.0130079
-2.5, 2.49994, 0.0158459
-1.74878, 2.49947, 0.0178629
-0.997644, 2.49509, 0.0191314
-0.249359, 2.46771, 0.0198047
0.493911, 2.41964, 0.0196614
