25, 20
-10, 3, 3.45465
-9.25, 3, 3.45437
-8.5, 3, 3.43642
-7.75, 3, 3.40376
-7, 3, 3.35995
-6.25, 3, 3.30879
-5.5, 3, 3.25397
-4.75, 3, 3.19895
-4, 3, 3.14674
-3.25, 3, 3.09991
-2.5, 3, 3.06052
-1.75, 3, 3.03015
-1, 3, 3.00995
-0.25, 3, 3.00062
0.5, 3, 3.0025
1.25, 3, 3.0155
2, 3, 3.03919
2.75, 3, 3.07271
3.5, 3, 3.11479
4.25, 3, 3.16366
5, 3, 3.21712
-10, 2.88, 3.33465
-9.24976, 2.88, 3.33437
-8.49951, 2.88001, 3.31642
-7.74927, 2.88011, 3.28383
-6.99904, 2.88102, 3.24091
-6.24941, 2.88661, 3.19536
-5.50074, 2.89618, 3.15021
-4.75073, 2.89952, 3.09852
-4.00049, 2.89995, 3.04672
-3.25024, 2.89999, 2.99992
-2.5, 2.89999, 2.96051
-1.74976, 2.89989, 2.93004
-0.999529, 2.89902, 2.90896
-0.249872, 2.89354, 2.89417
0.498782, 2.88393, 2.88641
1.24878, 2.8805, 2.89597
1.99902, 2.88005, 2.91921
2.74927, 2.88001, 2.95268
3.49951, 2.88, 2.99476
4.24976, 2.88, 3.04365
5, 2.88, 3.09712
-10, 2.76, 3.21465
-9.24951, 2.76, 3.21437
-8.49902, 2.76002, 3.19641
-7.74853, 2.76022, 3.16391
-6.99808, 2.76203, 3.12186
-6.24881, 2.77322, 3.08193
-5.50148, 2.79237, 3.04645
-4.75146, 2.79903, 2.99808
-4.00098, 2.7999, 2.9467
-3.25049, 2.79999, 2.89993
-2.5, 2.79998, 2.8605
-1.74951, 2.79979, 2.82992
-0.999058, 2.79804, 2.80797
-0.249743, 2.78708, 2.78771
0.497564, 2.76786, 2.77033
1.24757, 2.761, 2.77645
1.99805, 2.76011, 2.79922
2.74853, 2.76001, 2.83265
3.49902, 2.76, 2.87473
4.24951, 2.76, 2.92363
5, 2.76, 2.97712
-10, 2.64, 3.09465
-9.24927, 2.64, 3.09437
-8.49853, 2.64003, 3.07641
-7.7478, 2.64033, 3.04398
-6.99712, 2.64305, 3.00282
-6.24822, 2.65983, 2.9685
-5.50222, 2.68855, 2.94269
-4.75219, 2.69855, 2.89765
-4.00147, 2.69985, 2.84669
-3.25073, 2.69998, 2.79994
-2.5, 2.69997, 2.76048
-1.74927, 2.69968, 2.72981
-0.998586, 2.69706, 2.70698
-0.249615, 2.68062, 2.68125
0.496347, 2.65179, 2.65425
1.24635, 2.64151, 2.65692
1.99707, 2.64016, 2.67924
2.7478, 2.64002, 2.71262
3.49853, 2.64, 2.7547
4.24927, 2.64, 2.80361
5, 2.64, 2.85712
-10, 2.52, 2.97465
-9.24902, 2.52, 2.97437
-8.49805, 2.52005, 2.9564
-7.74707, 2.52044, 2.92405
-6.99617, 2.52406, 2.88377
-6.24763, 2.54645, 2.85506
-5.50296, 2.58473, 2.83892
-4.75291, 2.59806, 2.79722
-4.00195, 2.59979, 2.74667
-3.25098, 2.59998, 2.69994
-2.5, 2.59996, 2.66047
-1.74902, 2.59957, 2.62969
-0.998115, 2.59608, 2.60599
-0.249487, 2.57417, 2.57479
0.495129, 2.53572, 2.53816
1.24513, 2.52201, 2.53739
1.99609, 2.52021, 2.55926
2.74707, 2.52002, 2.59259
3.49805, 2.52, 2.63467
4.24902, 2.52, 2.6836
5, 2.52, 2.73712
-10, 2.4, 2.85465
-9.24878, 2.40001, 2.85436
-8.49756, 2.40006, 2.83639
-7.74634, 2.40055, 2.80412
-6.99521, 2.40508, 2.76472
-6.24704, 2.43306, 2.74163
-5.50371, 2.48091, 2.73516
-4.75364, 2.49758, 2.69679
-4.00244, 2.49974, 2.64665
-3.25122, 2.49997, 2.59995
-2.5, 2.49994, 2.56046
-1.74878, 2.49947, 2.52958
-0.997644, 2.49509, 2.505
-0.249359, 2.46771, 2.46833
0.493911, 2.41964, 2.42208
1.24392, 2.40251, 2.41786
1.99511, 2.40027, 2.43927
2.74634, 2.40003, 2.47256
3.49756, 2.4, 2.51464
4.24878, 2.4, 2.56358
5, 2.4, 2.61712
-10, 2.28, 2.73465
-9.24853, 2.28001, 2.73436
-8.49707, 2.28007, 2.71639
-7.7456, 2.28066, 2.68419
-6.99425, 2.28609, 2.64568
-6.24644, 2.31967, 2.6282
