25, 20
-10, 3, 0.0114177
-9.25, 3, -0.0121512
-8.5, 3, -0.0337418
-7.75, 3, -0.0509782
-7, 3, -0.0633156
-6.25, 3, -0.070654
-5.5, 3, -0.0732259
-4.75, 3, -0.0714878
-4, 3, -0.066026
-3.25, 3, -0.0574828
-2.5, 3, -0.0465047
-1.75, 3, -0.0337118
-1, 3, -0.0196851
-0.25, 3, -0.00496867
0.5, 3, 0.00991843
1.25, 3, 0.0244635
2, 3, 0.038141
2.75, 3, 0.0503956
3.5, 3, 0.0606326
4.25, 3, 0.0682212
5, 3, 0.0743237
-10, 2.88, 0.0114169
-9.24976, 2.88, -0.0121585
-8.49951, 2.88001, -0.0337541
-7.74927, 2.88011, -0.050992
-6.99904, 2.88102, -0.0633245
-6.24941, 2.88661, -0.0706566
-5.50074, 2.89618, -0.0732271
-4.75073, 2.89952, -0.0714907
-4.00049, 2.89995, -0.0660303
-3.25024, 2.89999, -0.0574857
-2.5, 2.89999, -0.0465045
-1.74976, 2.89989, -0.0337075
-0.999529, 2.89902, -0.0196816
-0.249872, 2.89354, -0.00497614
0.498782, 2.88393, 0.0099078
1.24878, 2.8805, 0.0244427
1.99902, 2.88005, 0.0381239
2.74927, 2.88001, 0.0503843
3.49951, 2.88, 0.0606265
4.24976, 2.88, 0.0682189
5, 2.88, 0.0743245
-10, 2.76, 0.0114161
-9.24951, 2.76, -0.0121658
-8.49902, 2.76002, -0.0337663
-7.74853, 2.76022, -0.0510058
-6.99808, 2.76203, -0.0633333
-6.24881, 2.77322, -0.0706591
-5.50148, 2.79237, -0.0732283
-4.75146, 2.79903, -0.0714935
-4.00098, 2.7999, -0.0660346
-3.25049, 2.79999, -0.0574887
-2.5, 2.79998, -0.0465043
-1.74951, 2.79979, -0.0337031
-0.999058, 2.79804, -0.019678
-0.249743, 2.78708, -0.00498362
0.497564, 2.76786, 0.00989716
1.24757, 2.761, 0.0244219
1.99805, 2.76011, 0.0381068
2.74853, 2.76001, 0.050373
3.49902, 2.76, 0.0606203
4.24951, 2.76, 0.0682166
5, 2.76, 0.0743252
-10, 2.64, 0.0114154
-9.24927, 2.64, -0.0121731
-8.49853, 2.64003, -0.0337786
-7.7478, 2.64033, -0.0510196
-6.99712, 2.64305, -0.0633422
-6.24822, 2.65983, -0.0706617
-5.50222, 2.68855, -0.0732295
-4.75219, 2.69855, -0.0714963
-4.00147, 2.69985, -0.0660389
-3.25073, 2.69998, -0.0574916
-2.5, 2.69997, -0.0465041
-1.74927, 2.69968, -0.0336987
-0.998586, 2.69706, -0.0196744
-0.249615, 2.68062, -0.00499109
0.496347, 2.65179, 0.00988652
1.24635, 2.64151, 0.0244011
1.99707, 2.64016, 0.0380897
2.7478, 2.64002, 0.0503617
3.49853, 2.64, 0.0606142
4.24927, 2.64, 0.0682142
5, 2.64, 0.0743259
-10, 2.52, 0.0114146
-9.24902, 2.52, -0.0121803
-8.49805, 2.52005, -0.0337908
-7.74707, 2.52044, -0.0510334
-6.99617, 2.52406, -0.063351
-6.24763, 2.54645, -0.0706642
-5.50296, 2.58473, -0.0732307
-4.75291, 2.59806, -0.0714991
-4.00195, 2.59979, -0.0660431
-3.25098, 2.59998, -0.0574946
-2.5, 2.59996, -0.0465039
-1.74902, 2.59957, -0.0336943
-0.998115, 2.59608, -0.0196709
-0.249487, 2.57417, -0.00499857
0.495129, 2.53572, 0.00987587
1.24513, 2.52201, 0.0243803
1.99609, 2.52021, 0.0380725
2.74707, 2.52002, 0.0503503
3.49805, 2.52, 0.060608
4.24902, 2.52, 0.0682119
5, 2.52, 0.0743266
-10, 2.4, 0.0114138
-9.24878, 2.40001, -0.0121876
-8.49756, 2.40006, -0.033803
-7.74634, 2.40055, -0.0510472
-6.99521, 2.40508, -0.0633599
-6.24704, 2.43306, -0.0706668
-5.50371, 2.48091, -0.0732319
-4.75364, 2.49758, -0.0715019
-4.00244, 2.49974, -0.0660474
-3.25122, 2.49997, -0.0574975
-2.5, 2.49994, -0.0465037
-1.74878, 2.49947, -0.03369
-0.997644, 2.49509, -0.0196673
-0.249359, 2.46771, -0.00500604
0.493911, 2.41964, 0.00986522
1.24392, 2.40251, 0.0243594
1.99511, 2.40027, 0.0380554
2.74634, 2.40003, 0.050339
3.49756, 2.4, 0.0606018
4.24878, 2.4, 0.0682096
5, 2.4, 0.0743273
-10, 2.28, 0.011413
-9.24853, 2.28001, -0.0121949
-8.49707, 2.28007, -0.0338153
-7.7456, 2.28066, -0.0510609
-6.99425, 2.28609, -0.0633687
-6.24644, 2.31967, -0.0706694
-5.50445, 2.3771, -0.0732331
-4.75437, 2.39709, -0.0715047
-4.00293, 2.39969, -0.0660517
-3.25147, 2.39997, -0.0575005
-2.5, 2.39993, -0.0465035
-1.74854, 2.39936, -0.0336856
-0.997173, 2.39411, -0.0196637
-0.24923, 2.36125, -0.00501352
0.492693, 2.30357, 0.00985457
1.2427, 2.28301, 0.0243386
1.99414, 2.28032, 0.0380382
2.7456, 2.28003, 0.0503277
3.49707, 2.28, 0.0605957
4.24853, 2.28, 0.0682073
5, 2.28, 0.074328
-10, 2.16, 0.0114123
-9.24829, 2.16001, -0.0122022
-8.49658, 2.16008, -0.0338275
-7.74487, 2.16077, -0.0510747
-6.99329, 2.16711, -0.0633776
-6.24585, 2.20628, -0.0706719
-5.50519, 2.27328, -0.0732343
-4.7551, 2.29661, -0.0715075
-4.00342, 2.29964, -0.066056
-3.25171, 2.29996, -0.0575034
-2.5, 2.29992, -0.0465034
-1.74829, 2.29926, -0.0336812
-0.996702, 2.29313, -0.0196601
-0.249102, 2.25479, -0.00502099
0.491475, 2.1875, 0.00984392
1.24148, 2.16352, 0.0243178
1.99316, 2.16037, 0.0380211
2.74487, 2.16004, 0.0503164
3.49658, 2.16, 0.0605895
4.24829, 2.16, 0.0682049
5, 2.16, 0.0743287
-10, 2.04, 0.0114115
-9.24805, 2.04001, -0.0122094
-8.49609, 2.04009, -0.0338397
-7.74414, 2.04088, -0.0510885
-6.99233, 2.04812, -0.0633864
-6.24526, 2.09289, -0.0706745
-5.50593, 2.16946, -0.0732355
-4.75583, 2.19612, -0.0715103
-4.00391, 2.19959, -0.0660602
-3.25195, 2.19996, -0.0575064
-2.5, 2.19991, -0.0465032
-1.74805, 2.19915, -0.0336769
-0.996231, 2.19215, -0.0196566
-0.248974, 2.14833, -0.00502847
0.490258, 2.07143, 0.00983326
1.24027, 2.04402, 0.0242969
1.99218, 2.04043, 0.038004
2.74414, 2.04004, 0.0503051
3.49609, 2.04, 0.0605833
4.24805, 2.04, 0.0682026
5, 2.04, 0.0743294
-10, 1.92, 0.0114107
