20, 30
-10, 3, 1
-9.5, 3, 1
-9, 3, 1
-8.5, 3, 1
-8, 3, 1
-7.5, 3, 1
-7, 3, 1
-6.5, 3, 1
-6, 3, 1
-5.5, 3, 0.999998
-5, 3, 0.999998
-4.5, 3, 0.999998
-4, 3, 0.999999
-3.5, 3, 0.999999
-3, 3, 1
-2.5, 3, 1
-2, 3, 1
-1.5, 3, 1
-1, 3, 1
-0.5, 3, 1
-8.88178e-16, 3, 1
0.5, 3, 1
1, 3, 1
1.5, 3, 1
2, 3, 1
2.5, 3, 1
3, 3, 1
3.5, 3, 1
4, 3, 1
4.5, 3, 1
5, 3, 1
-10, 2.85, 1
-9.4998, 2.85, 1
-8.99959, 2.85, 1
-8.49939, 2.85001, 1
-7.99919, 2.85006, 1
-7.49898, 2.85029, 1
-6.9988, 2.85127, 1
-6.49888, 2.85482, 1
-5.9999, 2.86254, 1
-5.50093, 2.87023, 0.999998
-5.001, 2.87374, 0.999998
-4.50081, 2.87471, 0.999998
-4.00061, 2.87494, 0.999999
-3.50041, 2.87499, 0.999999
-3.0002, 2.875, 1
-2.5, 2.87499, 1
-1.9998, 2.87494, 1
-1.49959, 2.87472, 1
-0.999411, 2.87377, 1
-0.499471, 2.87032, 1
-0.000476536, 2.86268, 1
0.498478, 2.85491, 1
0.998395, 2.8513, 1
1.49858, 2.8503, 1
1.99878, 2.85007, 1
2.49898, 2.85001, 1
2.99919, 2.85, 1
3.49939, 2.85, 1
3.99959, 2.85, 1
4.4998, 2.85, 1
5, 2.85, 1
-10, 2.7, 1
-9.49959, 2.7, 1
-8.99919, 2.70001, 1
-8.49878, 2.70003, 1
-7.99837, 2.70013, 1
-7.49797, 2.70058, 1
-6.9976, 2.70254, 1
-6.49775, 2.70964, 1
-5.99981, 2.72507, 1
-5.50185, 2.74046, 0.999998
-5.00199, 2.74749, 0.999998
-4.50163, 2.74942, 0.999998
-4.00122, 2.74987, 0.999999
-3.50081, 2.74997, 0.999999
-3.00041, 2.74999, 1
-2.5, 2.74997, 1
-1.99959, 2.74987, 1
-1.49919, 2.74944, 1
-0.998822, 2.74755, 1
-0.498942, 2.74064, 1
-0.000953073, 2.72536, 1
0.496955, 2.70982, 1
0.996791, 2.7026, 1
1.49715, 2.7006, 1
1.99756, 2.70013, 1
2.49796, 2.70003, 1
2.99837, 2.70001, 1
3.49878, 2.7, 1
3.99919, 2.7, 1
4.49959, 2.7, 1
5, 2.7, 1
-10, 2.55, 1
-9.49939, 2.55, 1
-8.99878, 2.55001, 1
-8.49817, 2.55004, 1
-7.99756, 2.55019, 1
-7.49695, 2.55087, 1
-6.99641, 2.55381, 1
-6.49663, 2.56445, 1
-5.99971, 2.58761, 1
-5.50278, 2.61069, 0.999998
-5.00299, 2.62123, 0.999998
-4.50244, 2.62413, 0.999998
-4.00183, 2.62481, 0.999999
-3.50122, 2.62496, 0.999999
-3.00061, 2.62499, 1
-2.5, 2.62496, 1
-1.99939, 2.62481, 1
-1.49878, 2.62416, 1
-0.998233, 2.62132, 1
-0.498413, 2.61096, 1
-0.00142961, 2.58804, 1
0.495433, 2.56473, 1
0.995186, 2.5539, 1
1.49573, 2.5509, 1
1.99634, 2.5502, 1
2.49695, 2.55004, 1
2.99756, 2.55001, 1
3.49817, 2.55, 1
3.99878, 2.55, 1
4.49939, 2.55, 1
5, 2.55, 1
-10, 2.4, 1
-9.49919, 2.4, 1
-8.99837, 2.40001, 1
-8.49756, 2.40006, 1
-7.99674, 2.40026, 1
-7.49593, 2.40117, 1
-6.99521, 2.40508, 1
-6.4955, 2.41927, 1
-5.99962, 2.45014, 1
-5.50371, 2.48091, 0.999998
-5.00398, 2.49498, 0.999998
-4.50325, 2.49885, 0.999998
-4.00244, 2.49974, 0.999999
-3.50163, 2.49994, 0.999999
-3.00081, 2.49999, 1
-2.5, 2.49994, 1
-1.99919, 2.49975, 1
-1.49838, 2.49887, 1
-0.997644, 2.49509, 1
-0.497884, 2.48128, 1
-0.00190615, 2.45071, 1
0.493911, 2.41964, 1
0.993582, 2.4052, 1
1.49431, 2.4012, 1
1.99511, 2.40027, 1
2.49593, 2.40006, 1
2.99674, 2.40001, 1
3.49756, 2.4, 1
3.99837, 2.4, 1
4.49919, 2.4, 1
5, 2.4, 1
-10, 2.25, 1
-9.49898, 2.25, 1
-8.99796, 2.25002, 1
-8.49695, 2.25007, 1
-7.99593, 2.25032, 1
-7.49492, 2.25146, 1
-6.99401, 2.25635, 1
