50, 20
-10, 3, -0.0157126
-9.25, 3, -0.02225
-8.5, 3, -0.0258844
-7.75, 3, -0.0197155
-7, 3, -0.013117
-6.25, 3, -0.0066069
-5.5, 3, -0.000555954
-4.75, 3, 0.00479985
-4, 3, 0.0093366
-3.25, 3, 0.0130142
-2.5, 3, 0.0158473
-1.75, 3, 0.0178796
-1, 3, 0.0191621
-0.25, 3, 0.0197358
0.5, 3, 0.0196216
1.25, 3, 0.0188143
2, 3, 0.0172874
2.75, 3, 0.0149941
3.5, 3, 0.0118837
4.25, 3, 0.00709319
5, 3, 0.00406834
-10, 2.94, -0.0157122
-9.24988, 2.94, -0.0222491
-8.49976, 2.94001, -0.0258825
-7.74963, 2.94006, -0.0197115
-6.99952, 2.94051, -0.013114
-6.2497, 2.94331, -0.00660807
-5.50037, 2.94809, -0.000556353
-4.75036, 2.94976, 0.0047985
-4.00024, 2.94997, 0.00933511
-3.25012, 2.95, 0.0130136
-2.5, 2.94999, 0.0158472
-1.74988, 2.94995, 0.017878
-0.999764, 2.94951, 0.0191592
-0.249936, 2.94677, 0.0197427
0.499391, 2.94196, 0.019626
1.24939, 2.94025, 0.0188111
1.99951, 2.94003, 0.0172881
2.74963, 2.94, 0.0149955
3.49976, 2.94, 0.0118848
4.24988, 2.94, 0.00709382
5, 2.94, 0.00406869
-10, 2.88, -0.0157118
-9.24976, 2.88, -0.0222483
-8.49951, 2.88001, -0.0258806
-7.74927, 2.88011, -0.0197074
-6.99904, 2.88102, -0.013111
-6.24941, 2.88661, -0.00660925
-5.50074, 2.89618, -0.000556753
-4.75073, 2.89952, 0.00479714
-4.00049, 2.89995, 0.00933361
-3.25024, 2.89999, 0.013013
-2.5, 2.89999, 0.015847
-1.74976, 2.89989, 0.0178763
-0.999529, 2.89902, 0.0191562
-0.249872, 2.89354, 0.0197495
0.498782, 2.88393, 0.0196304
1.24878, 2.8805, 0.0188079
1.99902, 2.88005, 0.0172888
2.74927, 2.88001, 0.0149968
3.49951, 2.88, 0.0118859
4.24976, 2.88, 0.00709446
5, 2.88, 0.00406903
-10, 2.82, -0.0157114
-9.24963, 2.82, -0.0222474
-8.49927, 2.82002, -0.0258785
-7.7489, 2.82017, -0.0197032
-6.99856, 2.82152, -0.0131078
-6.24911, 2.82992, -0.00661038
-5.50111, 2.84427, -0.000557148
-4.75109, 2.84927, 0.00479572
-4.00073, 2.84992, 0.00933206
-3.25037, 2.84999, 0.0130123
-2.5, 2.84998, 0.0158469
-1.74963, 2.84984, 0.0178747
-0.999293, 2.84853, 0.0191531
-0.249808, 2.84031, 0.0197564
0.498173, 2.82589, 0.0196343
1.24817, 2.82075, 0.0188042
1.99853, 2.82008, 0.0172892
2.7489, 2.82001, 0.014998
3.49927, 2.82, 0.0118869
4.24963, 2.82, 0.00709509
5, 2.82, 0.00406938
-10, 2.76, -0.015711
-9.24951, 2.76, -0.0222465
-8.49902, 2.76002, -0.0258765
-7.74853, 2.76022, -0.019699
-6.99808, 2.76203, -0.0131046
-6.24881, 2.77322, -0.00661151
-5.50148, 2.79237, -0.000557544
-4.75146, 2.79903, 0.0047943
-4.00098, 2.7999, 0.00933051
-3.25049, 2.79999, 0.0130117
-2.5, 2.79998, 0.0158467
-1.74951, 2.79979, 0.017873
-0.999058, 2.79804, 0.01915
-0.249743, 2.78708, 0.0197633
0.497564, 2.76786, 0.0196381
1.24757, 2.761, 0.0188005
1.99805, 2.76011, 0.0172895
2.74853, 2.76001, 0.0149992
3.49902, 2.76, 0.011888
4.24951, 2.76, 0.00709572
5, 2.76, 0.00406973
-10, 2.7, -0.0157107
-9.24939, 2.7, -0.0222456
-8.49878, 2.70003, -0.0258745
-7.74817, 2.70028, -0.0196948
-6.9976, 2.70254, -0.0131014
-6.24852, 2.71653, -0.00661264
-5.50185, 2.74046, -0.00055794
-4.75182, 2.74879, 0.00479288
-4.00122, 2.74987, 0.00932896
-3.25061, 2.74999, 0.0130111
-2.5, 2.74997, 0.0158466
-1.74939, 2.74973, 0.0178713
-0.998822, 2.74755, 0.0191469
-0.249679, 2.73385, 0.0197702
0.496955, 2.70982, 0.019642
1.24696, 2.70126, 0.0187968
1.99756, 2.70013, 0.0172899
2.74817, 2.70001, 0.0150005
3.49878, 2.7, 0.011889
4.24939, 2.7, 0.00709634
5, 2.7, 0.00407007
-10, 2.64, -0.0157103
-9.24927, 2.64, -0.0222447
-8.49853, 2.64003, -0.0258724
-7.7478, 2.64033, -0.0196906
-6.99712, 2.64305, -0.0130982
-6.24822, 2.65983, -0.00661378
-5.50222, 2.68855, -0.000558337
-4.75219, 2.69855, 0.00479146
-4.00147, 2.69985, 0.00932741
-3.25073, 2.69998, 0.0130104
-2.5, 2.69997, 0.0158465
-1.74927, 2.69968, 0.0178696
-0.998586, 2.69706, 0.0191438
-0.249615, 2.68062, 0.0197771
0.496347, 2.65179, 0.0196459
1.24635, 2.64151, 0.0187931
1.99707, 2.64016, 0.0172903
2.7478, 2.64002, 0.0150017
3.49853, 2.64, 0.0118901
4.24927, 2.64, 0.00709697
5, 2.64, 0.00407042
-10, 2.58, -0.0157099
-9.24914, 2.58, -0.0222439
-8.49829, 2.58004, -0.0258704
-7.74744, 2.58039, -0.0196864
-6.99664, 2.58355, -0.013095
-6.24793, 2.60314, -0.00661491
-5.50259, 2.63664, -0.000558733
-4.75255, 2.6483, 0.00479003
-4.00171, 2.64982, 0.00932586
-3.25086, 2.64998, 0.0130098
-2.5, 2.64996, 0.0158463
-1.74915, 2.64963, 0.0178679
-0.998351, 2.64657, 0.0191407
-0.249551, 2.6274, 0.019784
0.495738, 2.59375, 0.0196497
1.24574, 2.58176, 0.0187894
1.99658, 2.58019, 0.0172907
2.74743, 2.58002, 0.0150029
