50, 20
-10, 3, 3.45465
-9.25, 3, 3.45437
-8.5, 3, 3.43642
-7.75, 3, 3.40376
-7, 3, 3.35995
-6.25, 3, 3.30879
-5.5, 3, 3.25397
-4.75, 3, 3.19895
-4, 3, 3.14674
-3.25, 3, 3.09991
-2.5, 3, 3.06052
-1.75, 3, 3.03015
-1, 3, 3.00995
-0.25, 3, 3.00062
0.5, 3, 3.0025
1.25, 3, 3.0155
2, 3, 3.03919
2.75, 3, 3.07271
3.5, 3, 3.11479
4.25, 3, 3.16366
5, 3, 3.21712
-10, 2.94, 3.39465
-9.24988, 2.94, 3.39437
-8.49976, 2.94001, 3.37642
-7.74963, 2.94006, 3.3438
-6.99952, 2.94051, 3.30043
-6.2497, 2.94331, 3.25207
-5.50037, 2.94809, 3.20209
-4.75036, 2.94976, 3.14873
-4.00024, 2.94997, 3.09673
-3.25012, 2.95, 3.04991
-2.5, 2.94999, 3.01051
-1.74988, 2.94995, 2.9801
-0.999764, 2.94951, 2.95945
-0.249936, 2.94677, 2.9474
0.499391, 2.94196, 2.94446
1.24939, 2.94025, 2.95574
1.99951, 2.94003, 2.9792
2.74963, 2.94, 3.0127
3.49976, 2.94, 3.05477
4.24988, 2.94, 3.10365
5, 2.94, 3.15712
-10, 2.88, 3.33465
-9.24976, 2.88, 3.33437
-8.49951, 2.88001, 3.31642
-7.74927, 2.88011, 3.28383
-6.99904, 2.88102, 3.24091
-6.24941, 2.88661, 3.19536
-5.50074, 2.89618, 3.15021
-4.75073, 2.89952, 3.09852
-4.00049, 2.89995, 3.04672
-3.25024, 2.89999, 2.99992
-2.5, 2.89999, 2.96051
-1.74976, 2.89989, 2.93004
-0.999529, 2.89902, 2.90896
-0.249872, 2.89354, 2.89417
0.498782, 2.88393, 2.88641
1.24878, 2.8805, 2.89597
1.99902, 2.88005, 2.91921
2.74927, 2.88001, 2.95268
3.49951, 2.88, 2.99476
4.24976, 2.88, 3.04365
5, 2.88, 3.09712
-10, 2.82, 3.27465
-9.24963, 2.82, 3.27437
-8.49927, 2.82002, 3.25641
-7.7489, 2.82017, 3.22387
-6.99856, 2.82152, 3.18139
-6.24911, 2.82992, 3.13864
-5.50111, 2.84427, 3.09833
-4.75109, 2.84927, 3.0483
-4.00073, 2.84992, 2.99671
-3.25037, 2.84999, 2.94992
-2.5, 2.84998, 2.9105
-1.74963, 2.84984, 2.87998
-0.999293, 2.84853, 2.85846
-0.249808, 2.84031, 2.84094
0.498173, 2.82589, 2.82837
1.24817, 2.82075, 2.83621
1.99853, 2.82008, 2.85922
2.7489, 2.82001, 2.89267
3.49927, 2.82, 2.93474
4.24963, 2.82, 2.98364
5, 2.82, 3.03712
-10, 2.76, 3.21465
-9.24951, 2.76, 3.21437
-8.49902, 2.76002, 3.19641
-7.74853, 2.76022, 3.16391
-6.99808, 2.76203, 3.12186
-6.24881, 2.77322, 3.08193
-5.50148, 2.79237, 3.04645
-4.75146, 2.79903, 2.99808
-4.00098, 2.7999, 2.9467
-3.25049, 2.79999, 2.89993
-2.5, 2.79998, 2.8605
-1.74951, 2.79979, 2.82992
-0.999058, 2.79804, 2.80797
-0.249743, 2.78708, 2.78771
0.497564, 2.76786, 2.77033
1.24757, 2.761, 2.77645
1.99805, 2.76011, 2.79922
2.74853, 2.76001, 2.83265
3.49902, 2.76, 2.87473
4.24951, 2.76, 2.92363
5, 2.76, 2.97712
-10, 2.7, 3.15465
-9.24939, 2.7, 3.15437
-8.49878, 2.70003, 3.13641
-7.74817, 2.70028, 3.10394
-6.9976, 2.70254, 3.06234
-6.24852, 2.71653, 3.02521
-5.50185, 2.74046, 2.99457
-4.75182, 2.74879, 2.94787
-4.00122, 2.74987, 2.89669
-3.25061, 2.74999, 2.84993
-2.5, 2.74997, 2.81049
-1.74939, 2.74973, 2.77987
-0.998822, 2.74755, 2.75747
-0.249679, 2.73385, 2.73448
0.496955, 2.70982, 2.71229
1.24696, 2.70126, 2.71668
1.99756, 2.70013, 2.73923
2.74817, 2.70001, 2.77263
3.49878, 2.7, 2.81471
4.24939, 2.7, 2.86362
5, 2.7, 2.91712
-10, 2.64, 3.09465
-9.24927, 2.64, 3.09437
-8.49853, 2.64003, 3.07641
-7.7478, 2.64033, 3.04398
-6.99712, 2.64305, 3.00282
-6.24822, 2.65983, 2.9685
