50, 20
-10, 3, -0.000366784
-9.25, 3, -0.0121512
-8.5, 3, -0.0337418
-7.75, 3, -0.0509782
-7, 3, -0.0633156
-6.25, 3, -0.070654
-5.5, 3, -0.0732259
-4.75, 3, -0.0714878
-4, 3, -0.066026
-3.25, 3, -0.0574828
-2.5, 3, -0.0465047
-1.75, 3, -0.0337118
-1, 3, -0.0196852
-0.25, 3, -0.00496867
0.5, 3, 0.00991844
1.25, 3, 0.0244636
2, 3, 0.0381411
2.75, 3, 0.0503956
3.5, 3, 0.0606327
4.25, 3, 0.0682212
5, 3, 0.0712725
-10, 2.94, -0.000368795
-9.24988, 2.94, -0.0121549
-8.49976, 2.94001, -0.0337479
-7.74963, 2.94006, -0.0509851
-6.99952, 2.94051, -0.06332
-6.2497, 2.94331, -0.0706553
-5.50037, 2.94809, -0.0732265
-4.75036, 2.94976, -0.0714893
-4.00024, 2.94997, -0.0660282
-3.25012, 2.95, -0.0574843
-2.5, 2.94999, -0.0465046
-1.74988, 2.94995, -0.0337096
-0.999764, 2.94951, -0.0196834
-0.249936, 2.94677, -0.00497241
0.499391, 2.94196, 0.00991312
1.24939, 2.94025, 0.0244531
1.99951, 2.94003, 0.0381325
2.74963, 2.94, 0.0503899
3.49976, 2.94, 0.0606296
4.24988, 2.94, 0.0682201
5, 2.94, 0.0712721
-10, 2.88, -0.000370806
-9.24976, 2.88, -0.0121585
-8.49951, 2.88001, -0.0337541
-7.74927, 2.88011, -0.050992
-6.99904, 2.88102, -0.0633245
-6.24941, 2.88661, -0.0706566
-5.50074, 2.89618, -0.0732271
-4.75073, 2.89952, -0.0714907
-4.00049, 2.89995, -0.0660303
-3.25024, 2.89999, -0.0574857
-2.5, 2.89999, -0.0465045
-1.74976, 2.89989, -0.0337075
-0.999529, 2.89902, -0.0196816
-0.249872, 2.89354, -0.00497614
0.498782, 2.88393, 0.0099078
1.24878, 2.8805, 0.0244427
1.99902, 2.88005, 0.0381239
2.74927, 2.88001, 0.0503843
3.49951, 2.88, 0.0606265
4.24976, 2.88, 0.0682189
5, 2.88, 0.0712717
-10, 2.82, -0.000372818
-9.24963, 2.82, -0.0121621
-8.49927, 2.82002, -0.0337602
-7.7489, 2.82017, -0.0509989
-6.99856, 2.82152, -0.0633289
-6.24911, 2.82992, -0.0706578
-5.50111, 2.84427, -0.0732277
-4.75109, 2.84927, -0.0714921
-4.00073, 2.84992, -0.0660324
-3.25037, 2.84999, -0.0574872
-2.5, 2.84998, -0.0465044
-1.74963, 2.84984, -0.0337053
-0.999293, 2.84853, -0.0196798
-0.249808, 2.84031, -0.00497988
0.498173, 2.82589, 0.00990248
1.24817, 2.82075, 0.0244323
1.99853, 2.82008, 0.0381154
2.7489, 2.82001, 0.0503786
3.49927, 2.82, 0.0606234
4.24963, 2.82, 0.0682177
5, 2.82, 0.0712713
-10, 2.76, -0.000374829
-9.24951, 2.76, -0.0121658
-8.49902, 2.76002, -0.0337663
-7.74853, 2.76022, -0.0510058
-6.99808, 2.76203, -0.0633333
-6.24881, 2.77322, -0.0706591
-5.50148, 2.79237, -0.0732283
-4.75146, 2.79903, -0.0714935
-4.00098, 2.7999, -0.0660346
-3.25049, 2.79999, -0.0574887
-2.5, 2.79998, -0.0465043
-1.74951, 2.79979, -0.0337031
-0.999058, 2.79804, -0.019678
-0.249743, 2.78708, -0.00498362
0.497564, 2.76786, 0.00989716
1.24757, 2.761, 0.0244219
1.99805, 2.76011, 0.0381068
2.74853, 2.76001, 0.050373
3.49902, 2.76, 0.0606203
4.24951, 2.76, 0.0682166
5, 2.76, 0.0712708
-10, 2.7, -0.00037684
-9.24939, 2.7, -0.0121694
-8.49878, 2.70003, -0.0337724
-7.74817, 2.70028, -0.0510127
-6.9976, 2.70254, -0.0633377
-6.24852, 2.71653, -0.0706604
-5.50185, 2.74046, -0.0732289
-4.75182, 2.74879, -0.0714949
-4.00122, 2.74987, -0.0660367
-3.25061, 2.74999, -0.0574902
-2.5, 2.74997, -0.0465042
-1.74939, 2.74973, -0.0337009
-0.998822, 2.74755, -0.0196762
-0.249679, 2.73385, -0.00498735
0.496955, 2.70982, 0.00989184
1.24696, 2.70126, 0.0244115
1.99756, 2.70013, 0.0380982
