50, 20
-10, 3, 1
-9.25, 3, 1
-8.5, 3, 1
-7.75, 3, 1.00001
-7, 3, 1.00001
-6.25, 3, 1
-5.5, 3, 0.999995
-4.75, 3, 0.999995
-4, 3, 0.999997
-3.25, 3, 0.999999
-2.5, 3, 1
-1.75, 3, 1
-1, 3, 1
-0.25, 3, 1
0.5, 3, 1
1.25, 3, 1
2, 3, 1
2.75, 3, 1
3.5, 3, 1
4.25, 3, 1
5, 3, 1
-10, 2.94, 1
-9.24988, 2.94, 1
-8.49976, 2.94001, 1
-7.74963, 2.94006, 1.00001
-6.99952, 2.94051, 1.00001
-6.2497, 2.94331, 1
-5.50037, 2.94809, 0.999995
-4.75036, 2.94976, 0.999995
-4.00024, 2.94997, 0.999997
-3.25012, 2.95, 0.999999
-2.5, 2.94999, 1
-1.74988, 2.94995, 1
-0.999764, 2.94951, 1
-0.249936, 2.94677, 1
0.499391, 2.94196, 1
1.24939, 2.94025, 1
1.99951, 2.94003, 1
2.74963, 2.94, 1
3.49976, 2.94, 1
4.24988, 2.94, 1
5, 2.94, 1
-10, 2.88, 1
-9.24976, 2.88, 1
-8.49951, 2.88001, 1
-7.74927, 2.88011, 1.00001
-6.99904, 2.88102, 1.00001
-6.24941, 2.88661, 1
-5.50074, 2.89618, 0.999995
-4.75073, 2.89952, 0.999995
-4.00049, 2.89995, 0.999997
-3.25024, 2.89999, 0.999999
-2.5, 2.89999, 1
-1.74976, 2.89989, 1
-0.999529, 2.89902, 1
-0.249872, 2.89354, 1
0.498782, 2.88393, 1
1.24878, 2.8805, 1
1.99902, 2.88005, 1
2.74927, 2.88001, 1
3.49951, 2.88, 1
4.24976, 2.88, 1
5, 2.88, 1
-10, 2.82, 1
-9.24963, 2.82, 1
-8.49927, 2.82002, 1
-7.7489, 2.82017, 1.00001
-6.99856, 2.82152, 1.00001
-6.24911, 2.82992, 1
-5.50111, 2.84427, 0.999995
-4.75109, 2.84927, 0.999995
-4.00073, 2.84992, 0.999997
-3.25037, 2.84999, 0.999999
-2.5, 2.84998, 1
-1.74963, 2.84984, 1
-0.999293, 2.84853, 1
-0.249808, 2.84031, 1
0.498173, 2.82589, 1
1.24817, 2.82075, 1
1.99853, 2.82008, 1
2.7489, 2.82001, 1
3.49927, 2.82, 1
4.24963, 2.82, 1
5, 2.82, 1
-10, 2.76, 1
-9.24951, 2.76, 1
-8.49902, 2.76002, 1
-7.74853, 2.76022, 1.00001
-6.99808, 2.76203, 1.00001
-6.24881, 2.77322, 1
-5.50148, 2.79237, 0.999995
-4.75146, 2.79903, 0.999995
-4.00098, 2.7999, 0.999997
-3.25049, 2.79999, 0.999999
-2.5, 2.79998, 1
-1.74951, 2.79979, 1
-0.999058, 2.79804, 1
-0.249743, 2.78708, 1
0.497564, 2.76786, 1
1.24757, 2.761, 1
1.99805, 2.76011, 1
2.74853, 2.76001, 1
3.49902, 2.76, 1
4.24951, 2.76, 1
5, 2.76, 1
-10, 2.7, 1
-9.24939, 2.7, 1
-8.49878, 2.70003, 1
-7.74817, 2.70028, 1.00001
-6.9976, 2.70254, 1.00001
-6.24852, 2.71653, 1
-5.50185, 2.74046, 0.999995
-4.75182, 2.74879, 0.999995
-4.00122, 2.74987, 0.999997
-3.25061, 2.74999, 0.999999
-2.5, 2.74997, 1
-1.74939, 2.74973, 1
-0.998822, 2.74755, 1
-0.249679, 2.73385, 1
0.496955, 2.70982, 1
1.24696, 2.70126, 1
1.99756, 2.70013, 1
2.74817, 2.70001, 1
3.49878, 2.7, 1
4.24939, 2.7, 1
5, 2.7, 1
-10, 2.64, 1
-9.24927, 2.64, 1
-8.49853, 2.64003, 1
-7.7478, 2.64033, 1.00001
-6.99712, 2.64305, 1.00001
-6.24822, 2.65983, 1
-5.50222, 2.68855, 0.999995
-4.75219, 2.69855, 0.999995
-4.00147, 2.69985, 0.999997
-3.25073, 2.69998, 0.999999
-2.5, 2.69997, 1
-1.74927, 2.69968, 1
-0.998586, 2.69706, 1
-0.249615, 2.68062, 1
0.496347, 2.65179, 1
1.24635, 2.64151, 1
1.99707, 2.64016, 1
2.7478, 2.64002, 1
3.49853, 2.64, 1
4.24927, 2.64, 1
5, 2.64, 1
-10, 2.58, 1
-9.24914, 2.58, 1
-8.49829, 2.58004, 1
-7.74744, 2.58039, 1.00001
-6.99664, 2.58355, 1.00001
-6.24793, 2.60314, 1
-5.50259, 2.63664, 0.999995
-4.75255, 2.6483, 0.999995
-4.00171, 2.64982, 0.999997
-3.25086, 2.64998, 0.999999
-2.5, 2.64996, 1
-1.74915, 2.64963, 1
-0.998351, 2.64657, 1
-0.249551, 2.6274, 1
0.495738, 2.59375, 1
1.24574, 2.58176, 1
1.99658, 2.58019, 1
2.74743, 2.58002, 1
3.49829, 2.58, 1
4.24914, 2.58, 1
5, 2.58, 1
-10, 2.52, 1
-9.24902, 2.52, 1
-8.49805, 2.52005, 1
-7.74707, 2.52044, 1.00001
-6.99617, 2.52406, 1.00001
-6.24763, 2.54645, 1
-5.50296, 2.58473, 0.999995
-4.75291, 2.59806, 0.999995
-4.00195, 2.59979, 0.999997
-3.25098, 2.59998, 0.999999
-2.5, 2.59996, 1
-1.74902, 2.59957, 1
-0.998115, 2.59608, 1
-0.249487, 2.57417, 1
0.495129, 2.53572, 1
1.24513, 2.52201, 1
1.99609, 2.52021, 1
2.74707, 2.52002, 1
3.49805, 2.52, 1
4.24902, 2.52, 1
5, 2.52, 1
-10, 2.46, 1
-9.2489, 2.46, 1
-8.4978, 2.46005, 1
-7.7467, 2.4605, 1.00001
-6.99569, 2.46457, 1.00001
-6.24733, 2.48975, 1
-5.50333, 2.53282, 0.999995
-4.75328, 2.54782, 0.999995
-4.0022, 2.54977, 0.999997
-3.2511, 2.54998, 0.999999
-2.5, 2.54995, 1
-1.7489, 2.54952, 1
-0.99788, 2.54559, 1
-0.249423, 2.52094, 1
0.49452, 2.47768, 1
1.24452, 2.46226, 1
1.9956, 2.46024, 1
2.7467, 2.46002, 1
3.4978, 2.46, 1
4.2489, 2.46, 1
5, 2.46, 1
-10, 2.4, 1
-9.24878, 2.40001, 1
-8.49756, 2.40006, 1
-7.74634, 2.40055, 1.00001
-6.99521, 2.40508, 1.00001
-6.24704, 2.43306, 1
-5.50371, 2.48091, 0.999995
-4.75364, 2.49758, 0.999995
-4.00244, 2.49974, 0.999997
-3.25122, 2.49997, 0.999999
-2.5, 2.49994, 1
-1.74878, 2.49947, 1
-0.997644, 2.49509, 1
-0.249359, 2.46771, 1
0.493911, 2.41964, 1
1.24392, 2.40251, 1
1.99511, 2.40027, 1
2.74634, 2.40003, 1
3.49756, 2.4, 1
4.24878, 2.4, 1
5, 2.4, 1
-10, 2.34, 1
-9.24866, 2.34001, 1
-8.49731, 2.34006, 1
-7.74597, 2.34061, 1.00001
-6.99473, 2.34559, 1.00001
-6.24674, 2.37636, 1
-5.50408, 2.429, 0.999995
-4.75401, 2.44733, 0.999995
-4.00269, 2.44972, 0.999997
-3.25134, 2.44997, 0.999999
-2.5, 2.44994, 1
-1.74866, 2.44941, 1
-0.997409, 2.4446, 1
-0.249294, 2.41448, 1
0.493302, 2.36161, 1
1.24331, 2.34276, 1
1.99463, 2.34029, 1
2.74597, 2.34003, 1
3.49731, 2.34, 1
4.24866, 2.34, 1
5, 2.34, 1
-10, 2.28, 1
-9.24853, 2.28001, 1
-8.49707, 2.28007, 1
-7.7456, 2.28066, 1.00001
-6.99425, 2.28609, 1.00001
-6.24644, 2.31967, 1
-5.50445, 2.3771, 0.999995
-4.75437, 2.39709, 0.999995
-4.00293, 2.39969, 0.999997
-3.25147, 2.39997, 0.999999
-2.5, 2.39993, 1
-1.74854, 2.39936, 1
-0.997173, 2.39411, 1
-0.24923, 2.36125, 1
0.492693, 2.30357, 1
1.2427, 2.28301, 1
1.99414, 2.28032, 1
2.7456, 2.28003, 1
3.49707, 2.28, 1
4.24853, 2.28, 1
5, 2.28, 1
-10, 2.22, 1
-9.24841, 2.22001, 1
-8.49682, 2.22007, 1
-7.74524, 2.22072, 1.00001
-6.99377, 2.2266, 1.00001
-6.24615, 2.26298, 1
-5.50482, 2.32519, 0.999995
-4.75474, 2.34685, 0.999995
-4.00318, 2.34967, 0.999997
-3.25159, 2.34996, 0.999999
-2.5, 2.34993, 1
-1.74841, 2.34931, 1
-0.996937, 2.34362, 1
-0.249166, 2.30802, 1
0.492084, 2.24554, 1
1.24209, 2.22327, 1
1.99365, 2.22035, 1
2.74524, 2.22004, 1
3.49682, 2.22, 1
4.24841, 2.22, 1
5, 2.22, 1
-10, 2.16, 1
-9.24829, 2.16001, 1
-8.49658, 2.16008, 1
-7.74487, 2.16077, 1.00001
-6.99329, 2.16711, 1.00001
-6.24585, 2.20628, 1
-5.50519, 2.27328, 0.999995
-4.7551, 2.29661, 0.999995
-4.00342, 2.29964, 0.999997
-3.25171, 2.29996, 0.999999
-2.5, 2.29992, 1
-1.74829, 2.29926, 1
-0.996702, 2.29313, 1
-0.249102, 2.25479, 1
0.491475, 2.1875, 1
1.24148, 2.16352, 1
1.99316, 2.16037, 1
2.74487, 2.16004, 1
3.49658, 2.16, 1
4.24829, 2.16, 1
5, 2.16, 1
-10, 2.1, 1
-9.24817, 2.10001, 1
-8.49634, 2.10009, 1
-7.74451, 2.10083, 1.00001
-6.99281, 2.10762, 1.00001
-6.24555, 2.14959, 1
-5.50556, 2.22137, 0.999995
-4.75546, 2.24636, 0.999995
-4.00366, 2.24961, 0.999997
-3.25183, 2.24996, 0.999999
-2.5, 2.24992, 1
-1.74817, 2.2492, 1
-0.996466, 2.24264, 1
-0.249038, 2.20156, 1
0.490866, 2.12947, 1
1.24087, 2.10377, 1
1.99267, 2.1004, 1
2.7445, 2.10004, 1
3.49634, 2.1, 1
4.24817, 2.1, 1
5, 2.1, 1
-10, 2.04, 1
-9.24805, 2.04001, 1
-8.49609, 2.04009, 1
-7.74414, 2.04088, 1.00001
-6.99233, 2.04812, 1.00001
-6.24526, 2.09289, 1
-5.50593, 2.16946, 0.999995
-4.75583, 2.19612, 0.999995
-4.00391, 2.19959, 0.999997
-3.25195, 2.19996, 0.999999
-2.5, 2.19991, 1
-1.74805, 2.19915, 1
-0.996231, 2.19215, 1
-0.248974, 2.14833, 1
0.490258, 2.07143, 0.999999
1.24027, 2.04402, 1
1.99218, 2.04043, 1
2.74414, 2.04004, 1
3.49609, 2.04, 1
4.24805, 2.04, 1
5, 2.04, 1
-10, 1.98, 1
-9.24792, 1.98001, 1
-8.49585, 1.9801, 1
-7.74377, 1.98094, 1.00001
-6.99185, 1.98863, 1.00001
-6.24496, 2.0362, 1
-5.5063, 2.11755, 0.999995
-4.75619, 2.14588, 0.999995
-4.00415, 2.14956, 0.999997
-3.25208, 2.14995, 0.999999
-2.5, 2.14991, 1
-1.74793, 2.1491, 1
-0.995995, 2.14166, 1
-0.248909, 2.0951, 1
0.489649, 2.0134, 0.999999
1.23966, 1.98427, 1
1.99169, 1.98045, 1
2.74377, 1.98005, 1
3.49585, 1.98, 1
4.24792, 1.98, 1
5, 1.98, 1
-10, 1.92, 1
-9.2478, 1.92001, 1
-8.4956, 1.9201, 1
-7.74341, 1.92099, 1.00001
-6.99137, 1.92914, 1.00001
-6.24467, 1.9795, 1
-5.50667, 2.06564, 0.999995
-4.75656, 2.09564, 0.999995
-4.0044, 2.09954, 0.999997
-3.2522, 2.09995, 0.999999
-2.5, 2.0999, 1
-1.7478, 2.09904, 1
-0.995759, 2.09117, 1
-0.248845, 2.04187, 1
0.48904, 1.95536, 0.999999
1.23905, 1.92452, 1
1.99121, 1.92048, 1
2.7434, 1.92005, 1
3.4956, 1.92, 1
4.2478, 1.92, 1
5, 1.92, 1
-10, 1.86, 1
-9.24768, 1.86001, 1
-8.49536, 1.86011, 1
-7.74304, 1.86105, 1.00001
-6.99089, 1.86965, 1.00001
-6.24437, 1.92281, 1
-5.50704, 2.01374, 0.999995
-4.75692, 2.04539, 0.999995
-4.00464, 2.04951, 0.999997
-3.25232, 2.04995, 0.999999
-2.5, 2.04989, 1
-1.74768, 2.04899, 1
-0.995524, 2.04068, 1
-0.248781, 1.98864, 1
0.488431, 1.89732, 0.999999
1.23844, 1.86477, 1
1.99072, 1.86051, 1
2.74304, 1.86005, 1
3.49536, 1.86001, 1
4.24768, 1.86, 1
5, 1.86, 1
-10, 1.8, 1
-9.24756, 1.80001, 1
-8.49511, 1.80011, 1
-7.74267, 1.8011, 1.00001
-6.99041, 1.81016, 1.00001
-6.24407, 1.86612, 1
-5.50741, 1.96183, 0.999995
-4.75729, 1.99515, 0.999995
-4.00489, 1.99949, 0.999997
-3.25244, 1.99995, 0.999999
-2.5, 1.99989, 1
-1.74756, 1.99894, 1
-0.995288, 1.99019, 1
-0.248717, 1.93542, 1
0.487822, 1.83929, 0.999999
1.23783, 1.80502, 1
1.99023, 1.80053, 1
2.74267, 1.80005, 1
3.49511, 1.80001, 1
4.24756, 1.8, 1
5, 1.8, 1
-10, 1.74, 1
-9.24743, 1.74001, 1
-8.49487, 1.74012, 1
-7.74231, 1.74116, 1.00001
-6.98993, 1.75066, 1.00001
-6.24378, 1.80942, 1
-5.50778, 1.90992, 0.999995
-4.75765, 1.94491, 0.999995
-4.00513, 1.94946, 0.999997
-3.25257, 1.94994, 0.999999
-2.5, 1.94988, 1
-1.74744, 1.94888, 1
-0.995053, 1.9397, 1
-0.248653, 1.88219, 1
0.487213, 1.78125, 0.999999
1.23722, 1.74527, 1
1.98974, 1.74056, 1
2.7423, 1.74006, 1
3.49487, 1.74001, 1
